maker,model,mileage,manufacture_year,engine_displacement,engine_power,body_type,color_slug,stk_year,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,price_eur
toyota,yaris,31696.0,2011.0,1329.0,73.0,compact,grey,2016.0,man,3.0,5.0,gasoline,2016-01-06 19:25:07.416766+00,2016-01-17 13:19:36.517081+00,9490.0
nissan,note,9944.0,2014.0,1198.0,59.0,van,blue,2018.0,man,4.0,5.0,gasoline,2016-01-06 19:25:14.051308+00,2016-07-03 18:52:28.778609+00,10000.0
porsche,cayman,65000.0,2005.0,3386.0,217.0,coupe,silver,2016.0,man,2.0,2.0,gasoline,2016-01-06 19:25:26.075347+00,2016-07-03 18:41:05.832238+00,25800.0
opel,corsa,24348.0,2014.0,1229.0,63.0,compact,grey,2017.0,man,5.0,5.0,gasoline,2016-01-06 19:25:40.555298+00,2016-01-17 13:21:38.582038+00,9290.0
toyota,celica,155000.0,1999.0,1794.0,105.0,coupe,silver,2016.0,man,2.0,4.0,gasoline,2016-01-06 20:10:58.372777+00,2016-01-17 14:07:45.192729+00,3450.0
ford,s-max,165800.0,2012.0,1560.0,85.0,van,white,2017.0,man,4.0,5.0,diesel,2016-01-06 20:59:03.800801+00,2016-07-03 16:58:12.811412+00,8500.0
opel,astra,132237.0,2000.0,1598.0,62.0,compact,blue,2016.0,man,2.0,5.0,gasoline,2016-01-06 21:35:08.76768+00,2016-01-17 16:20:52.828324+00,1100.0
suzuki,alto,48165.0,2009.0,996.0,50.0,compact,blue,2017.0,man,4.0,4.0,gasoline,2016-01-06 21:35:59.592716+00,2016-01-17 16:34:04.358522+00,5500.0
lancia,y,7229.0,2009.0,1368.0,70.0,compact,red,2017.0,man,2.0,5.0,gasoline,2016-01-06 21:35:59.611999+00,2016-07-03 17:01:40.793804+00,6850.0
opel,meriva,70200.0,2004.0,1364.0,66.0,van,grey,2017.0,man,4.0,5.0,gasoline,2016-01-06 21:36:27.90153+00,2016-07-03 16:57:25.448323+00,3450.0
skoda,fabia,168861.0,2001.0,1397.0,50.0,compact,green,2016.0,man,4.0,5.0,gasoline,2016-01-06 22:19:41.977889+00,2016-07-03 18:39:16.839056+00,1000.0
toyota,corolla-verso,87500.0,2008.0,1794.0,95.0,van,grey,2017.0,man,4.0,5.0,gasoline,2016-01-06 22:19:46.278447+00,2016-01-17 17:19:52.298902+00,9490.0
audi,tt,105000.0,2000.0,1781.0,198.0,convertible,orange,2017.0,man,2.0,2.0,gasoline,2016-01-06 22:19:57.819625+00,2016-01-17 17:20:47.419688+00,12990.0
fiat,punto,192000.0,2010.0,1248.0,62.0,van,black,2016.0,man,5.0,4.0,diesel,2016-01-06 22:19:59.462967+00,2016-01-17 17:20:54.607242+00,4950.0
toyota,aygo,5871.0,2015.0,998.0,51.0,compact,white,2018.0,man,5.0,4.0,gasoline,2016-01-06 23:44:34.469664+00,2016-01-17 19:02:39.730232+00,13790.0
mercedes-benz,140,234000.0,1999.0,1397.0,60.0,compact,black,2018.0,man,5.0,5.0,gasoline,2016-01-06 23:45:42.96702+00,2016-01-17 19:04:26.67019+00,1500.0
ford,fiesta,75000.0,2009.0,1242.0,60.0,compact,silver,2017.0,man,5.0,5.0,gasoline,2016-01-06 23:45:46.385715+00,2016-07-03 18:44:18.237733+00,5900.0
hyundai,santa-fe,154127.0,2003.0,2351.0,107.0,van,blue,2016.0,man,4.0,5.0,gasoline,2016-01-06 23:46:56.101167+00,2016-07-03 18:44:08.532104+00,3250.0
chevrolet,matiz,68000.0,2008.0,796.0,38.0,compact,black,2016.0,man,4.0,5.0,gasoline,2016-01-06 23:47:00.546238+00,2016-01-17 19:07:53.563332+00,2600.0
audi,a5,58500.0,2012.0,1968.0,130.0,coupe,grey,2017.0,man,5.0,4.0,diesel,2016-01-06 23:47:06.750026+00,2016-01-17 19:08:40.204749+00,28990.0
opel,astra,199180.0,1998.0,1598.0,55.0,compact,green,2017.0,man,2.0,5.0,gasoline,2016-01-07 00:07:34.219166+00,2016-01-17 19:32:45.089451+00,1300.0
seat,ibiza,244100.0,2004.0,1390.0,55.0,compact,grey,2016.0,man,2.0,5.0,gasoline,2016-01-07 00:12:57.770044+00,2016-01-17 19:47:49.469562+00,3400.0
opel,zafira,28514.0,2013.0,1598.0,125.0,van,grey,2018.0,man,4.0,5.0,gasoline,2016-01-07 01:24:06.482582+00,2016-01-17 21:20:12.172364+00,17990.0
hyundai,accent,130000.0,2001.0,1341.0,63.0,compact,grey,2016.0,man,2.0,5.0,gasoline,2016-01-07 01:24:08.932684+00,2016-01-17 21:20:18.468126+00,1500.0
ford,c-max,4.0,2015.0,1560.0,85.0,van,black,2018.0,man,4.0,5.0,diesel,2016-01-07 01:24:09.562637+00,2016-01-17 21:20:19.763822+00,18780.0
kia,rio,116000.0,2006.0,1493.0,81.0,compact,blue,2017.0,man,4.0,5.0,diesel,2016-01-07 01:24:09.610783+00,2016-01-17 21:20:20.287349+00,3850.0
toyota,starlet,187500.0,1995.0,1296.0,55.0,compact,silver,2016.0,man,2.0,5.0,gasoline,2016-01-07 01:40:02.027251+00,2016-01-17 21:45:17.846064+00,800.0
opel,corsa,126000.0,1998.0,1389.0,44.0,compact,red,2016.0,man,4.0,5.0,gasoline,2016-01-07 02:04:52.002694+00,2016-01-17 22:29:35.851964+00,1250.0
audi,tt,89700.0,2007.0,1984.0,147.0,convertible,silver,2017.0,man,2.0,2.0,gasoline,2016-01-07 03:10:33.174795+00,2016-01-18 00:12:10.61126+00,13900.0
hyundai,i10,26430.0,2013.0,1086.0,51.0,compact,blue,2018.0,man,4.0,5.0,gasoline,2016-01-07 05:04:52.066955+00,2016-01-18 04:20:20.797554+00,6980.0
fiat,500,49000.0,2013.0,1242.0,51.0,compact,white,2016.0,auto,2.0,4.0,gasoline,2016-01-07 05:04:55.863042+00,2016-01-18 04:20:24.767666+00,8800.0
chevrolet,spark,112000.0,2010.0,1206.0,60.0,compact,red,2018.0,man,4.0,5.0,gasoline,2016-01-07 05:04:57.28731+00,2016-01-18 04:20:26.123237+00,4990.0
fiat,grande-punto,91000.0,2009.0,1368.0,57.0,compact,white,2016.0,man,2.0,5.0,gasoline,2016-01-07 05:05:02.963928+00,2016-01-18 04:20:29.273834+00,3500.0
opel,agila,26000.0,2006.0,998.0,44.0,compact,silver,2017.0,man,4.0,4.0,gasoline,2016-01-07 05:05:52.749144+00,2016-01-18 04:20:31.249784+00,3990.0
opel,astra,192000.0,1999.0,1598.0,55.0,convertible,green,2016.0,man,2.0,5.0,gasoline,2016-01-07 08:31:21.959466+00,2016-07-03 18:49:54.397451+00,799.0
hyundai,i10,53700.0,2011.0,1086.0,51.0,compact,white,2018.0,man,4.0,5.0,gasoline,2016-01-07 09:07:24.167621+00,2016-07-03 17:04:16.007377+00,5980.0
nissan,juke,19987.0,2015.0,1461.0,81.0,compact,black,2018.0,man,4.0,5.0,diesel,2016-01-07 10:50:30.463363+00,2016-01-18 12:45:45.631033+00,16490.0
ford,galaxy,109000.0,2005.0,2792.0,150.0,van,grey,2016.0,auto,4.0,6.0,gasoline,2016-01-07 13:19:22.270534+00,2016-01-18 17:15:39.363702+00,6800.0
suzuki,swift,3.0,2015.0,1242.0,69.0,compact,black,2018.0,man,4.0,5.0,gasoline,2016-01-07 13:19:25.625593+00,2016-01-18 17:15:50.035964+00,11500.0
suzuki,swift,3.0,2015.0,1242.0,69.0,compact,white,2018.0,man,4.0,5.0,gasoline,2016-01-07 13:19:26.003262+00,2016-01-18 17:15:54.286218+00,11500.0
seat,leon,173304.0,2003.0,1598.0,77.0,compact,red,2016.0,man,4.0,5.0,gasoline,2016-01-07 13:19:26.495997+00,2016-01-18 17:15:58.309192+00,3500.0
opel,combo,16480.0,2011.0,1686.0,74.0,van,white,2018.0,man,2.0,2.0,diesel,2016-01-07 13:19:27.053041+00,2016-07-03 16:56:03.876427+00,7480.0
